Ürün Kodu,Ürün Adı,Kategori,Açıklama,Ürün URL,Görsel Sayısı,Görseller
PNK01,PNK01,,"150x40x90 cm Dresuar / Bahçe Mobilyası Dış mekanlara doğal şıklık katan, uzun ömürlü ve estetik bir mobilya. Bahçe ve iç mekan kullanımına uygundur; hava koşullarına karşı yüksek dayanıklılık sunar. Ürün Detayları Ölçüler: 150x40x90 cm Bakım Önerisi: Sezon sonunda mobilyanızı kapalı alanda tutmanız önerilir. İmkanınız yoksa koruma kılıfı kullanmak ürünün ömrünü uzatır. Temizliği, sert fırça ve ağır kimyasallar kullanmadan, hafif nemli bir bezle silerek yapılmalıdır. Kuruması beklenmelidir. Garanti: Tüm ürünlerimiz, teslim tarihinden itibaren 2 yıl garanti kapsamındadır. Detaylar için sıkça sorulan sorular bölümünü inceleyebilirsiniz. Teslimat: Büyük ebatlı ürünlerde sevkiyat ücreti uygulanır. Ücret, il/ilçe bilgisine ve alışveriş tutarına göre değişir. Kara ulaşımının olmadığı ilçe ve adalarda teslimat, kara tarafından seçilen iskeleye kadar yapılabilmektedir.",https://www.pinkhometr.com.tr/urun/pnk01,12,images/PNK01/PNK01_01.png | images/PNK01/PNK01_02.png | images/PNK01/PNK01_03.png | images/PNK01/PNK01_04.png | images/PNK01/PNK01_05.png | images/PNK01/PNK01_06.png | images/PNK01/PNK01_07.png | images/PNK01/PNK01_08.png | images/PNK01/PNK01_09.png | images/PNK01/PNK01_10.png | images/PNK01/PNK01_11.png | images/PNK01/PNK01_12.png
PNK02,PNK02,,"130x40x90 cm Konsol / Bahçe Mobilyası Dış mekanlara doğal şıklık katan, uzun ömürlü ve estetik bir mobilya. Bahçe ve iç mekan kullanımına uygundur; hava koşullarına karşı yüksek dayanıklılık sunar. Ürün Detayları Ölçüler: 130x40x90 cm Bakım Önerisi: Sezon sonunda mobilyanızı kapalı alanda tutmanız önerilir. İmkanınız yoksa koruma kılıfı kullanmak ürünün ömrünü uzatır. Temizliği, sert fırça ve ağır kimyasallar kullanmadan, hafif nemli bir bezle silerek yapılmalıdır. Kuruması beklenmelidir. Garanti: Tüm ürünlerimiz, teslim tarihinden itibaren 2 yıl garanti kapsamındadır. Detaylar için sıkça sorulan sorular bölümünü inceleyebilirsiniz. Teslimat: Büyük ebatlı ürünlerde sevkiyat ücreti uygulanır. Ücret, il/ilçe bilgisine ve alışveriş tutarına göre değişir. Kara ulaşımının olmadığı ilçe ve adalarda teslimat, kara tarafından seçilen iskeleye kadar yapılabilmektedir.",https://www.pinkhometr.com.tr/urun/pnk02,8,images/PNK02/PNK02_01.webp | images/PNK02/PNK02_02.webp | images/PNK02/PNK02_03.webp | images/PNK02/PNK02_04.webp | images/PNK02/PNK02_05.png | images/PNK02/PNK02_06.webp | images/PNK02/PNK02_07.webp | images/PNK02/PNK02_08.png
PNK03,PNK03,,"150x40x80 cm Şaraplık Konsol Dış mekanlara doğal şıklık katan, uzun ömürlü ve estetik bir mobilya. Bahçe ve iç mekan kullanımına uygundur; hava koşullarına karşı yüksek dayanıklılık sunar. Ürün Detayları Ölçüler: 150x40x80 cm Bakım Önerisi: Sezon sonunda mobilyanızı kapalı alanda tutmanız önerilir. İmkanınız yoksa koruma kılıfı kullanmak ürünün ömrünü uzatır. Temizliği, sert fırça ve ağır kimyasallar kullanmadan, hafif nemli bir bezle silerek yapılmalıdır. Kuruması beklenmelidir. Garanti: Tüm ürünlerimiz, teslim tarihinden itibaren 2 yıl garanti kapsamındadır. Detaylar için sıkça sorulan sorular bölümünü inceleyebilirsiniz. Teslimat: Büyük ebatlı ürünlerde sevkiyat ücreti uygulanır. Ücret, il/ilçe bilgisine ve alışveriş tutarına göre değişir. Kara ulaşımının olmadığı ilçe ve adalarda teslimat, kara tarafından seçilen iskeleye kadar yapılabilmektedir.",https://www.pinkhometr.com.tr/urun/pnk03,8,images/PNK03/PNK03_01.webp | images/PNK03/PNK03_02.webp | images/PNK03/PNK03_03.webp | images/PNK03/PNK03_04.webp | images/PNK03/PNK03_05.webp | images/PNK03/PNK03_06.webp | images/PNK03/PNK03_07.png | images/PNK03/PNK03_08.png
PNK04,PNK04,,"180x40x80 cm Antik Bahçe/Masa Mobilyası Dış mekanlara doğal şıklık katan, uzun ömürlü ve estetik bir mobilya. Bahçe ve iç mekan kullanımına uygundur; doğal çürüme, böceklenme ve hava koşullarına karşı yüksek dayanıklılık sunar. Ürün Detayları Ayak ve Tabla Malzemesi: Dayanıklı yapı Ölçüler: 180x40x80 cm Bakım Önerisi: Sezon sonunda mobilyanızı kapalı alanda tutmanız önerilir. İmkanınız yoksa koruma kılıfı kullanmak ürünün ömrünü uzatır. Temizliği, sert fırça ve ağır kimyasallar kullanmadan, hafif nemli bir bezle silerek yapılmalıdır. Kuruması beklenmelidir. Garanti: Tüm ürünlerimiz, teslim tarihinden itibaren 2 yıl garanti kapsamındadır. Detaylar için sıkça sorulan sorular bölümünü inceleyebilirsiniz. Teslimat: Büyük ebatlı ürünlerde sevkiyat ücreti uygulanır. Ücret, il/ilçe bilgisine ve alışveriş tutarına göre değişir. Kara ulaşımının olmadığı ilçe ve adalarda teslimat, kara tarafından seçilen iskeleye kadar yapılabilmektedir.",https://www.pinkhometr.com.tr/urun/pnk04,8,images/PNK04/PNK04_01.webp | images/PNK04/PNK04_02.webp | images/PNK04/PNK04_03.webp | images/PNK04/PNK04_04.webp | images/PNK04/PNK04_05.webp | images/PNK04/PNK04_06.webp | images/PNK04/PNK04_07.png | images/PNK04/PNK04_08.png
PNK05,PNK05,,"150x40x90 cm Dresuar Doğal dokuların sıcaklığını yaşam alanlarınıza taşıyan bu şık dresuar, hem dış hem de iç mekân kullanımı için uygundur. Zarif tasarımı ve işlevsel yapısı ile bulunduğu ortama estetik ve doğal bir hava katar. Ürün Detayları Ölçü: 150 x 40 x 90 cm Kullanım Alanı: Dış ve iç mekân uyumlu Tasarım: Sade, doğal ve zarif çizgiler Kapak Yapısı: Hazeran dokulu detaylar Bakım Önerisi Mobilyanızı sezon sonunda kapalı bir alanda muhafaza etmeniz önerilir. Bu mümkün değilse, koruma kılıfı kullanarak dış etkenlerden korunmasını sağlayabilirsiniz. Temizlikte sert olmayan bir fırça kullanın, ağır kimyasallar içeren deterjanlardan kaçının. Ardından hafif nemli bir bezle silip kurumasını bekleyin. Garanti ve Teslimat Tüm ürünlerimiz, fatura tarihinden itibaren 2 yıl garanti kapsamındadır. Büyük ebatlı mobilya teslimatlarında sevkiyat ücreti, gönderim yapılacak il ve ilçeye göre değişiklik gösterebilir. Kara ulaşımının olmadığı bölgelerde teslimat en yakın iskeleye kadar yapılmaktadır.",https://www.pinkhometr.com.tr/urun/pnk05,8,images/PNK05/PNK05_01.webp | images/PNK05/PNK05_02.png | images/PNK05/PNK05_03.webp | images/PNK05/PNK05_04.webp | images/PNK05/PNK05_05.webp | images/PNK05/PNK05_06.webp | images/PNK05/PNK05_07.webp | images/PNK05/PNK05_08.png
PNK06,PNK06,,"150x90x40 cm Antika Doku Dresuar Doğanın zarif izlerini taşıyan bu dresuar, rustik detaylarıyla hem dış hem iç mekânlarda sıcak bir atmosfer oluşturur. El işçiliğiyle şekillendirilen yüzeyi, kendine özgü doku farklarıyla her bir ürünü eşsiz kılar. Dayanıklı yapısı sayesinde uzun yıllar boyunca estetik görünümünü korur. Ürün Detayları Ölçü: 150 x 90 x 40 cm Yüzey: Antika doku görünümü Kullanım Alanı: Dış ve iç mekân kullanıma uygun Tasarım: Doğal çizgiler, el işçiliği dokunuşlar Bakım Önerisi Mobilyanızı sezon sonunda kapalı bir alanda muhafaza etmeniz önerilir. Bu mümkün değilse koruma kılıfı kullanarak dış etkenlerden korunmasını sağlayabilirsiniz. Temizlik için sert olmayan bir fırça tercih edin; ağır kimyasallar içeren deterjanlar kullanmayın. Ardından hafif nemli bir bezle silip kendi kendine kurumasını bekleyin. Garanti ve Teslimat Tüm ürünlerimiz, fatura tarihinden itibaren 2 yıl garanti kapsamındadır. Büyük ebatlı mobilya teslimatlarında sevkiyat ücreti, gönderim yapılacak il ve ilçeye göre değişiklik gösterebilir. Kara ulaşımının olmadığı bölgelerde teslimat, en yakın iskeleye kadar yapılmaktadır.",https://www.pinkhometr.com.tr/urun/pnk06,8,images/PNK06/PNK06_01.webp | images/PNK06/PNK06_02.webp | images/PNK06/PNK06_03.webp | images/PNK06/PNK06_04.webp | images/PNK06/PNK06_05.webp | images/PNK06/PNK06_06.png | images/PNK06/PNK06_07.webp | images/PNK06/PNK06_08.webp
PNK07,PNK07,,"250x40x80 cm Konsol – Eskitme Doku Doğal dokuların sıcaklığıyla mekânlarınıza karakter kazandıran bu konsol, zarif eskitme yüzeyiyle hem dış hem iç alanlarda dikkat çeker. Dayanıklı yapısı sayesinde uzun yıllar kullanım imkânı sunarken, sade çizgileri ve geniş depolama alanıyla estetik ve işlevselliği bir araya getirir. Ürün Detayları Ölçü: 250 x 40 x 80 cm Yüzey: Eskitme doku detaylı tasarım Kullanım Alanı: Dış ve iç mekân uyumlu Tasarım: Doğal görünüm, modern ve zamansız çizgiler Bakım Önerisi Ürününüzün uzun ömürlü olması için sezon sonunda kapalı bir alanda muhafaza etmeniz önerilir. Bu mümkün değilse koruma kılıfı kullanarak dış etkenlerden korunmasını sağlayabilirsiniz. Temizlik işlemini sert olmayan bir fırça ile, ağır kimyasallar içeren deterjanlar kullanmadan yapın. Ardından hafif nemli bir bezle silip kurumasını bekleyin. Garanti ve Teslimat Tüm ürünlerimiz, fatura tarihinden itibaren 2 yıl garanti kapsamındadır. Mobilya teslimatlarında sevkiyat ücreti, gönderim yapılacak il ve ilçeye göre değişiklik gösterebilir. Kara ulaşımının olmadığı bölgelerde teslimat, en yakın iskeleye kadar gerçekleştirilmektedir.",https://www.pinkhometr.com.tr/urun/pnk07,9,images/PNK07/PNK07_01.webp | images/PNK07/PNK07_02.webp | images/PNK07/PNK07_03.webp | images/PNK07/PNK07_04.webp | images/PNK07/PNK07_05.webp | images/PNK07/PNK07_06.webp | images/PNK07/PNK07_07.webp | images/PNK07/PNK07_08.png | images/PNK07/PNK07_09.png
PNK08,PNK 08,,"150x40x90 cm Konsol Doğanın huzurunu yaşam alanlarınıza taşıyan bu şık konsol, dış mekân koşullarına dayanıklı yapısıyla hem dış hem de iç ortamlarda rahatlıkla kullanılabilir. Zarif formu, sade çizgileri ve doğal dokusuyla bulunduğu ortama sıcaklık ve karakter kazandırır. Ürün Detayları Ölçü: 150 x 40 x 90 cm Kullanım Alanı: Dış ve iç mekân uyumlu Tasarım: Sade, doğal ve zamansız çizgiler Kapak Yapısı: Hazeran dokulu kapak tasarımı Bakım Önerisi Ürününüzün ömrünü uzatmak için sezon sonunda kapalı bir alanda muhafaza etmeniz tavsiye edilir. Bu mümkün değilse koruma kılıfı kullanarak dış etkenlerden korunmasını sağlayabilirsiniz. Temizlik için sert olmayan bir fırça kullanın, ağır kimyasallar içeren deterjanlardan kaçının. Ardından hafif nemli bir bezle silip kurumasını bekleyin. Garanti ve Teslimat Tüm ürünlerimiz, fatura tarihinden itibaren 2 yıl garanti kapsamındadır. Mobilya teslimatlarında sevkiyat ücreti, gönderim yapılacak bölgeye ve sipariş tutarına göre değişiklik gösterebilir. Kara ulaşımının olmadığı bölgelerde teslimat, en yakın iskeleye kadar yapılmaktadır.",https://www.pinkhometr.com.tr/urun/pnk8,8,images/PNK08/PNK08_01.webp | images/PNK08/PNK08_02.webp | images/PNK08/PNK08_03.webp | images/PNK08/PNK08_04.webp | images/PNK08/PNK08_05.webp | images/PNK08/PNK08_06.webp | images/PNK08/PNK08_07.webp | images/PNK08/PNK08_08.png
PNK09,PNK09,,"150x40x90 cm Konsol Doğal dokuların sıcaklığını yaşam alanlarınıza taşıyan bu özel tasarım konsol, dış mekân koşullarına uygun dayanıklı yapısıyla hem dış hem de iç ortamlarda güvenle kullanılabilir. Şık formu, zarif detayları ve kullanışlı yapısıyla bulunduğu alana doğal bir zarafet katar. Ürün Detayları Ölçü: 150 x 40 x 90 cm Kullanım Alanı: Dış ve iç mekân uyumlu Tasarım: Sade, doğal ve modern çizgiler Kapak Yapısı: Hazeran dokulu detaylar Bakım Önerisi Ürününüzü sezon sonunda kapalı bir alanda muhafaza etmeniz önerilir. Bu mümkün değilse, koruma kılıfı kullanarak dış etkenlerden korunmasını sağlayabilirsiniz. Temizlikte sert olmayan bir fırça kullanın, ağır kimyasallar içeren deterjanlardan kaçının. Ardından hafif nemli bir bezle silip kurumasını bekleyin. Garanti ve Teslimat Tüm ürünlerimiz, fatura tarihinden itibaren 2 yıl garanti kapsamındadır. Mobilya teslimatlarında sevkiyat ücreti, gönderim yapılacak bölgeye ve sipariş tutarına göre değişiklik gösterebilir. Kara ulaşımının olmadığı bölgelerde teslimat, en yakın iskeleye kadar yapılmaktadır.",https://www.pinkhometr.com.tr/urun/pnk09,8,images/PNK09/PNK09_01.png | images/PNK09/PNK09_02.webp | images/PNK09/PNK09_03.webp | images/PNK09/PNK09_04.webp | images/PNK09/PNK09_05.webp | images/PNK09/PNK09_06.webp | images/PNK09/PNK09_07.webp | images/PNK09/PNK09_08.webp
PNK10,PNK10,,"140x40x80 cm Dresuar Doğal dokuların sıcaklığını yaşam alanlarınıza taşıyan bu zarif dresuar, dış mekân koşullarına uyum sağlayan dayanıklı yapısıyla hem dış hem de iç alanlarda kullanıma uygundur. Şık formu, işlevsel yapısı ve sade çizgileriyle her ortama doğal bir zarafet kazandırır. Ürün Detayları Ölçü: 140 x 40 x 80 cm Kullanım Alanı: Dış ve iç mekân uyumlu Tasarım: Sade, doğal ve estetik görünüm Kapak Yapısı: Hazeran dokulu detaylar Bakım Önerisi Ürününüzü sezon sonunda kapalı bir alanda muhafaza etmeniz tavsiye edilir. Bu mümkün değilse koruma kılıfı kullanarak dış etkenlere karşı korunmasını sağlayabilirsiniz. Temizliği yaparken sert olmayan bir fırça tercih edin, ağır kimyasallar içeren deterjanlardan kaçının. Ardından hafif nemli bir bezle silip kurumasını bekleyin. Garanti ve Teslimat Tüm ürünlerimiz, fatura tarihinden itibaren 2 yıl garanti kapsamındadır. Mobilya teslimatlarında sevkiyat ücreti, gönderim yapılacak bölgeye ve sipariş tutarına göre değişiklik gösterebilir. Kara ulaşımının olmadığı bölgelerde teslimat, en yakın iskeleye kadar yapılmaktadır. İade Koşulları Siparişinizi teslim aldığınız tarihten itibaren 30 gün içinde , ürünü kullanmadığınız ve ambalajını bozmadığınız sürece iade edebilirsiniz.",https://www.pinkhometr.com.tr/urun/pnk10,8,images/PNK10/PNK10_01.webp | images/PNK10/PNK10_02.webp | images/PNK10/PNK10_03.webp | images/PNK10/PNK10_04.webp | images/PNK10/PNK10_05.webp | images/PNK10/PNK10_06.webp | images/PNK10/PNK10_07.webp | images/PNK10/PNK10_08.png
